2026-06-27 16:08:08.826 | INFO     | __main__:_process_file:83 - Processing experimental-data/minus-docs/kilo/kilo.c
[mutation testing] 70/95 done (killed=0 survived=70 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 71/95 done (killed=0 survived=71 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 72/95 done (killed=0 survived=72 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 73/95 done (killed=0 survived=73 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 74/95 done (killed=0 survived=74 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 75/95 done (killed=0 survived=75 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 76/95 done (killed=0 survived=76 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 77/95 done (killed=0 survived=77 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 78/95 done (killed=0 survived=78 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 79/95 done (killed=0 survived=79 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 80/95 done (killed=0 survived=80 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 81/95 done (killed=0 survived=81 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 82/95 done (killed=0 survived=82 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 83/95 done (killed=0 survived=83 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 84/95 done (killed=0 survived=84 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 85/95 done (killed=0 survived=85 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 86/95 done (killed=0 survived=86 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 87/95 done (killed=0 survived=87 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 88/95 done (killed=0 survived=88 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 89/95 done (killed=0 survived=89 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 90/95 done (killed=0 survived=90 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 91/95 done (killed=0 survived=91 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 92/95 done (killed=0 survived=92 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 93/95 done (killed=0 survived=93 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 94/95 done (killed=0 survived=94 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 95/95 done (killed=0 survived=95 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorRowAppendString; now running mutation testing on 3 mutants across up to 3 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/3 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/3 done (killed=0 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/3 done (killed=0 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorRowDelChar; now running mutation testing on 9 mutants across up to 9 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/9 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/9 done (killed=0 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/9 done (killed=0 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/9 done (killed=0 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/9 done (killed=0 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/9 done (killed=0 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/9 done (killed=0 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/9 done (killed=0 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/9 done (killed=0 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorRowHasOpenComment; now running mutation testing on 16 mutants across up to 16 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/16 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/16 done (killed=1 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/16 done (killed=1 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/16 done (killed=1 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/16 done (killed=2 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/16 done (killed=2 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/16 done (killed=2 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/16 done (killed=2 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/16 done (killed=3 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 10/16 done (killed=4 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 11/16 done (killed=5 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 12/16 done (killed=6 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 13/16 done (killed=7 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 14/16 done (killed=7 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 15/16 done (killed=8 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 16/16 done (killed=9 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorRowInsertChar; now running mutation testing on 18 mutants across up to 18 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/18 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
